DATE,remainder
1950-01-01,-30.043958335549092
1950-01-02,14.955334831463745
1950-01-03,33.95462799847658
1950-01-04,3.9539211654894153
1950-01-05,-25.046785667497748
1950-01-06,27.952507499515086
1950-01-07,56.95180066652792
1950-01-08,74.95109383354077
1950-01-09,60.9503870005536
1950-01-10,-19.05031983243357
1950-01-11,-68.05102666542074
1950-01-12,4.948266501592104
1950-01-13,26.94755966860494
1950-01-14,53.946852835617776
1950-01-15,71.94614600263061
1950-01-16,52.94543916964345
1950-01-17,22.944732336656283
1950-01-18,-49.055974496330876
1950-01-19,-69.05668132931804
1950-01-20,-56.05738816230521
1950-01-21,-13.058094995292372
1950-01-22,-8.058801828279535
1950-01-23,-43.0595086612667
1950-01-24,-77.06021549425387
1950-01-25,-45.06092232724103
1950-01-26,-39.06162916022819
1950-01-27,-56.062335993215356
1950-01-28,-53.06304282620252
1950-01-29,-58.06374965918968
1950-01-30,-37.064456492176845
1950-01-31,-62.06516332516401
1950-02-01,-69.1325134193051
1950-02-02,-55.13322025229227
1950-02-03,-28.13392708527943
1950-02-04,-5.134633918266594
1950-02-05,-1.135340751253759
1950-02-06,36.86395241575907
1950-02-07,42.86324558277191
1950-02-08,16.862538749784747
1950-02-09,18.861831916797584
1950-02-10,6.861125083810421
1950-02-11,59.86041825082326
1950-02-12,38.859711417836095
1950-02-13,67.85900458484893
1950-02-14,32.85829775186177
1950-02-15,40.8575909188746
1950-02-16,94.85688408588743
1950-02-17,95.85617725290027
1950-02-18,86.8554704199131
1950-02-19,55.85476358692595
1950-02-20,61.85405675393878
1950-02-21,40.853349920951615
1950-02-22,32.85264308796445
1950-02-23,28.85193625497729
1950-02-24,30.851229421990126
1950-02-25,62.85052258900296
1950-02-26,1.849815756015797
1950-02-27,-12.150891076971366
1950-02-28,-34.15159790995853
1950-03-01,-62.60023324020933
1950-03-02,-82.60094007319648
1950-03-03,-92.60164690618365
1950-03-04,-30.602353739170816
1950-03-05,3.396939427842021
1950-03-06,42.39623259485485
1950-03-07,37.39552576186769
1950-03-08,29.394818928880525
1950-03-09,0.3941120958933624
1950-03-10,-19.6065947370938
1950-03-11,-4.607301570080963
1950-03-12,-9.608008403068126
1950-03-13,-18.608715236055296
1950-03-14,-22.60942206904246
1950-03-15,-8.610128902029622
1950-03-16,30.389164264983215
1950-03-17,81.38845743199604
1950-03-18,67.38775059900888
1950-03-19,80.38704376602172
1950-03-20,69.38633693303456
1950-03-21,68.3856301000474
1950-03-22,67.38492326706023
1950-03-23,78.38421643407307
1950-03-24,73.3835096010859
1950-03-25,48.38280276809874
1950-03-26,43.38209593511157
1950-03-27,46.38138910212441
1950-03-28,19.380682269137246
1950-03-29,14.379975436150083
1950-03-30,31.37926860316292
1950-03-31,27.378561770175757
1950-04-01,-14.684323215844856
1950-04-02,-6.685030048832019
1950-04-03,-11.685736881819182
1950-04-04,-21.686443714806344
1950-04-05,-19.687150547793507
1950-04-06,-15.68785738078067
1950-04-07,-2.688564213767833
1950-04-08,30.310728953245004
1950-04-09,24.31002212025784
1950-04-10,-32.69068471272932
1950-04-11,-17.691391545716485
1950-04-12,-6.692098378703662
1950-04-13,-24.692805211690825
1950-04-14,-9.693512044677988
1950-04-15,-17.69421887766515
1950-04-16,-27.694925710652313
1950-04-17,-13.695632543639476
1950-04-18,14.30366062337336
1950-04-19,36.3029537903862
1950-04-20,21.302246957399035
1950-04-21,32.30154012441187
1950-04-22,25.30083329142471
1950-04-23,15.300126458437546
1950-04-24,1.2994196254503834
1950-04-25,-3.7012872075367937
1950-04-26,8.298005959476043
1950-04-27,-8.70270087351112
1950-04-28,-14.703407706498282
1950-04-29,-18.704114539485445
1950-04-30,30.29517862752739
1950-05-01,24.909623390610932
1950-05-02,44.90891655762374
1950-05-03,-18.091790275363422
1950-05-04,6.907502891649415
1950-05-05,-7.093203941337748
1950-05-06,10.906089225675089
1950-05-07,33.905382392687926
1950-05-08,45.90467555970076
1950-05-09,32.9039687267136
1950-05-10,7.903261893726437
1950-05-11,44.902555060739274
1950-05-12,61.90184822775211
1950-05-13,50.90114139476495
1950-05-14,58.900434561777786
1950-05-15,-16.100272271209377
1950-05-16,-11.10097910419654
1950-05-17,16.898314062816297
1950-05-18,28.897607229829134
1950-05-19,10.896900396841971
1950-05-20,42.89619356385481
1950-05-21,104.89548673086765
1950-05-22,99.89477989788048
1950-05-23,78.89407306489332
1950-05-24,0.8933662319061568
1950-05-25,14.892659398918994
1950-05-26,22.89195256593183
1950-05-27,0.8912457329446681
1950-05-28,-16.109461100042523
1950-05-29,8.889832066970314
1950-05-30,11.889125233983151
1950-05-31,-3.111581599004012
1950-06-01,-17.41719358621907
1950-06-02,6.582099580793766
1950-06-03,34.5813927478066
1950-06-04,64.58068591481944
1950-06-05,80.57997908183228
1950-06-06,88.57927224884511
1950-06-07,89.57856541585795
1950-06-08,68.57785858287079
1950-06-09,-2.422848250116374
1950-06-10,-31.423555083103537
1950-06-11,-8.4242619160907
1950-06-12,9.575031250922137
1950-06-13,53.574324417934974
1950-06-14,24.57361758494781
1950-06-15,33.57291075196065
1950-06-16,15.572203918973486
1950-06-17,18.571497085986323
1950-06-18,22.57079025299916
1950-06-19,44.570083420012
1950-06-20,60.569376587024834
1950-06-21,31.56866975403767
1950-06-22,-17.43203707894949
1950-06-23,-30.432743911936655
1950-06-24,-17.433450744923846
1950-06-25,-4.434157577911009
1950-06-26,11.565135589101828
1950-06-27,0.5644287561146655
1950-06-28,14.563721923127503
1950-06-29,37.56301509014034
1950-06-30,83.56230825715318
